symbol,timestamp,volatility,volume_spike,price_change,range_pct,volume_ratio_prev,rsi,macd_line,macd_signal,macd_hist,macd_cross,sma_20,sma_50,sma_cross_20_50,ema_20_50_cross,adx,adx_plus_di,adx_minus_di,atr_pct,day_of_week,month,ret_1d,ret_5d,ret_20d,prediction_id,price_at_scan,volume_ratio,max_change_5d,gap_pct,short_percent
WU,2026-07-27T22:45:03.735612-04:00,0.022131127472295745,1.0330369337446634,0.04822336407642025,0.024213166755145166,1.22687880941938,56.201540448945,0.1734150726071313,0.17205914126219873,0.0013559313449325594,0.0,0.016990907809818268,0.060355802804543224,1.0,0.0,23.23300561161302,26.158675977958374,19.812726231833704,0.03388794652234842,1.0,7.0,0.011015930446443223,-0.024793392151879923,0.08256882109982522,101,8.17,0.74,1.71,0.0,0.0
GT,2026-07-27T22:45:03.735612-04:00,0.0323394464552088,0.6544521645027472,0.10510515047148172,0.04076089474085553,1.1375163765674714,60.78740423714925,0.2371249208058508,0.22139441078046188,0.015730510025388916,0.0,0.06151297037310677,0.15143932379107694,1.0,0.0,21.114003357569167,25.329356972122707,17.6353159349802,0.04437481403520518,1.0,7.0,0.03516174336222244,0.009602218385140304,0.10843377733528303,102,7.11,0.56,3.52,0.0,0.0
NXE,2026-07-27T22:45:03.735612-04:00,0.03203872673519399,1.6927695552102064,-0.01923070065211563,0.04738566504964508,2.6849114939014034,44.556241059497985,-0.2632679569053735,-0.3356370714669037,0.07236911456153017,0.0,-0.00863927487795535,-0.08752953479306624,-1.0,0.0,22.855933367887936,17.96621859970541,28.82278214311529,0.04938958978495607,1.0,7.0,-0.015021394230966045,0.0010905374916723165,-0.053608197351990516,103,9.32,0.61,0.54,0.0,0.0
YYAI,2026-07-27T22:45:03.735612-04:00,0.24474145474195722,17.269574201165966,-0.8899262911712842,2.2656250311826747,7.1848245614035084,27.897696151361245,-1.1704064625008135,-0.8006697184193162,-0.36973674408149726,-1.0,-0.883680168608416,-0.8969019939348792,-1.0,0.0,34.501791548354255,23.987496517152238,41.34392350850301,1.8339404579004865,1.0,7.0,-0.7013333241144817,-0.8950819635059882,-0.8805333296457927,106,3.0,18.08,277.5,0.0,0.0
FIGS,2026-07-27T22:45:03.735612-04:00,0.03362860340313566,0.6608122710751224,0.06275716460074854,0.05808329001947046,0.8821600861786333,48.601579547300624,-0.38320815401027986,-0.4583983447780272,0.07519019076774736,0.0,0.03073237838580445,-0.07024050302474694,-1.0,0.0,12.619951900155671,21.594873621786977,21.283094321934286,0.053757454750846874,1.0,7.0,0.04028193416286019,0.005842206744696377,-0.0676895311520127,109,9.93,0.7,6.34,0.0,0.0
LVWR,2026-07-27T22:45:03.735612-04:00,0.27065146029004417,2.6472230951473534,1.7008310802722661,0.676923087268656,0.39300783524802796,65.78287734563185,0.13037445651723112,-0.03586396588403014,0.16623842240126124,0.0,0.9356760390414447,0.6744521949738522,-1.0,0.0,29.58936256031361,50.10485605127385,6.333567820371545,0.20837179171416872,1.0,7.0,-0.19753086662011454,1.2914218831411381,0.5476190971769537,113,2.43,7.63,6.58,0.0,0.0
HIVE,2026-07-27T22:45:03.735612-04:00,0.04541962113455098,0.9554598391489059,-0.10691828473280662,0.059859183602711356,1.1405122588379821,37.730265698868884,-0.19614856562693683,-0.17815399988551525,-0.01799456574142158,0.0,-0.10677782773815725,-0.23018543345469422,-1.0,0.0,12.958146851660889,18.881312787871444,28.317194750545738,0.10288329066872874,1.0,7.0,-0.03728818024961533,-0.12074306582079986,-0.24468087197537336,116,2.95,0.76,7.8,0.0,0.0
ASAN,2026-07-27T22:45:03.735612-04:00,0.046037311648510174,1.698855041175502,0.09785516601922928,0.08547006656041561,1.0308411419085688,61.87809418802694,0.0894313397790798,0.055459605799114894,0.033971733979964905,1.0,0.11133721613387904,0.1299044799593354,1.0,0.0,11.193105097300576,36.34641374024144,21.744560030527488,0.07030919996799796,1.0,7.0,0.056774139404296875,0.10825436107594344,0.16999994005475716,121,7.75,1.7,9.81,0.0,0.0
UAA,2026-07-27T22:45:03.735612-04:00,0.03097733587870127,0.8697761824744216,0.08018150109921418,0.025210060462819223,0.7828997613365155,59.04903040927985,0.26395161494737884,0.2836136048460486,-0.01966198989866974,0.0,0.03635966226446552,0.15515286913312232,1.0,0.0,22.29364073573864,23.559599496781544,18.776473491009583,0.04657151209083674,1.0,7.0,0.00847456828052251,-0.03120760144435719,0.1534733118712961,122,7.08,0.92,0.85,0.0,0.0
AI,2026-07-27T22:45:03.735612-04:00,0.029775169649881427,1.2872231117087447,-0.02732240551067433,0.06629204766314421,0.8665660840546726,47.927651586675,-0.2913222661551256,-0.3077062237572605,0.016383957602134902,1.0,0.004514641524610896,-0.06958270874325301,-1.0,0.0,18.808021786485664,24.027923414381647,21.468737973680046,0.05888765385683267,1.0,7.0,0.009070286448309206,0.03608841215782643,0.0033821570866119366,124,8.82,1.28,0.91,0.0,0.0
